Name	Type	Protein	NPS	BP	Distance
CebpZ_a-68	CebpZ_a	CebpZ	Widom_601	100	4
CebpZ_a-69	CebpZ_a	CebpZ	Widom_601	101	5
CebpZ_a-70	CebpZ_a	CebpZ	Widom_601	102	6
CebpZ_a-71	CebpZ_a	CebpZ	Widom_601	103	7
CebpZ_a-72	CebpZ_a	CebpZ	Widom_601	104	8
CebpZ_a-73	CebpZ_a	CebpZ	Widom_601	105	9
CebpZ_a-74	CebpZ_a	CebpZ	Widom_601	106	10
CebpZ_a-75	CebpZ_a	CebpZ	Widom_601	107	11
CebpZ_a-76	CebpZ_a	CebpZ	Widom_601	108	12
CebpZ_a-77	CebpZ_a	CebpZ	Widom_601	109	13
CebpZ_a-78	CebpZ_a	CebpZ	Widom_601	110	14
CebpZ_a-79	CebpZ_a	CebpZ	Widom_601	111	15
CebpZ_a-80	CebpZ_a	CebpZ	Widom_601	112	16
CebpZ_a-81	CebpZ_a	CebpZ	Widom_601	113	17
CebpZ_a-82	CebpZ_a	CebpZ	Widom_601	114	18
CebpZ_a-83	CebpZ_a	CebpZ	Widom_601	115	19
CebpZ_a-84	CebpZ_a	CebpZ	Widom_601	116	20
CebpZ_a-85	CebpZ_a	CebpZ	Widom_601	117	21
CebpZ_a-86	CebpZ_a	CebpZ	Widom_601	118	22
CebpZ_a-87	CebpZ_a	CebpZ	Widom_601	119	23
CebpZ_a-88	CebpZ_a	CebpZ	Widom_601	120	24
CebpZ_a-89	CebpZ_a	CebpZ	Widom_601	121	25
CebpZ_a-90	CebpZ_a	CebpZ	Widom_601	122	26
CebpZ_a-91	CebpZ_a	CebpZ	Widom_601	123	27
CebpZ_a-92	CebpZ_a	CebpZ	Widom_601	124	28
CebpZ_a-93	CebpZ_a	CebpZ	Widom_601	125	29
CebpZ_a-94	CebpZ_a	CebpZ	Widom_601	126	30
CebpZ_a-95	CebpZ_a	CebpZ	Widom_601	127	31
CebpZ_a-96	CebpZ_a	CebpZ	Widom_601	128	32
CebpZ_a-97	CebpZ_a	CebpZ	Widom_601	129	33
CebpZ_a-98	CebpZ_a	CebpZ	Widom_601	130	34
CebpZ_a-99	CebpZ_a	CebpZ	Widom_601	131	35
CebpZ_a-100	CebpZ_a	CebpZ	Widom_601	132	36
CebpZ_a-101	CebpZ_a	CebpZ	Widom_601	133	37
CebpZ_a-102	CebpZ_a	CebpZ	Widom_601	134	38
CebpZ_a-103	CebpZ_a	CebpZ	Widom_601	135	39
CebpZ_a-104	CebpZ_a	CebpZ	Widom_601	136	40
CebpZ_a-105	CebpZ_a	CebpZ	Widom_601	137	41
CebpZ_a-106	CebpZ_a	CebpZ	Widom_601	138	42
CebpZ_a-107	CebpZ_a	CebpZ	Widom_601	139	43
CebpZ_a-108	CebpZ_a	CebpZ	Widom_601	140	44
CebpZ_a-109	CebpZ_a	CebpZ	Widom_601	141	45
CebpZ_a-110	CebpZ_a	CebpZ	Widom_601	142	46
CebpZ_a-111	CebpZ_a	CebpZ	Widom_601	143	47
CebpZ_a-112	CebpZ_a	CebpZ	Widom_601	144	48
CebpZ_a-113	CebpZ_a	CebpZ	Widom_601	145	49
CebpZ_a-114	CebpZ_a	CebpZ	Widom_601	146	50
CebpZ_a-115	CebpZ_a	CebpZ	Widom_601	147	51
CebpZ_a-116	CebpZ_a	CebpZ	Widom_601	148	52
CebpZ_a-117	CebpZ_a	CebpZ	Widom_601	149	53
CebpZ_a-118	CebpZ_a	CebpZ	Widom_601	150	54
CebpZ_a-119	CebpZ_a	CebpZ	Widom_601	151	55
CebpZ_a-120	CebpZ_a	CebpZ	Widom_601	152	56
CebpZ_a-121	CebpZ_a	CebpZ	Widom_601	153	57
CebpZ_a-122	CebpZ_a	CebpZ	Widom_601	154	58
CebpZ_a-123	CebpZ_a	CebpZ	Widom_601	155	59
CebpZ_a-124	CebpZ_a	CebpZ	Widom_601	156	60
CebpZ_a-125	CebpZ_a	CebpZ	Widom_601	157	61
CebpZ_a-126	CebpZ_a	CebpZ	Widom_601	158	62
CebpZ_a-127	CebpZ_a	CebpZ	Widom_601	159	63
CebpZ_a-128	CebpZ_a	CebpZ	Widom_601	160	64
CebpZ_a-129	CebpZ_a	CebpZ	Widom_601	161	65
CebpZ_a-130	CebpZ_a	CebpZ	Widom_601	162	66
CebpZ_a-131	CebpZ_a	CebpZ	Widom_601	163	67
CebpZ_a-132	CebpZ_a	CebpZ	Widom_601	164	68
CebpZ_a-133	CebpZ_a	CebpZ	Widom_601	165	69
CebpZ_a-134	CebpZ_a	CebpZ	Widom_601	166	70
CebpZ_a-135	CebpZ_a	CebpZ	Widom_601	167	71
CebpZ_a-136	CebpZ_a	CebpZ	Widom_601	168	72
CebpZ_a-137	CebpZ_a	CebpZ	Widom_601	169	73
CebpZ_a-138	CebpZ_a	CebpZ	Widom_601	170	74
CebpZ_a-139	CebpZ_a	CebpZ	Widom_601	171	75
CebpZ_a-140	CebpZ_a	CebpZ	Widom_601	172	76
CebpZ_a-141	CebpZ_a	CebpZ	Widom_601	173	77
CebpZ_a-142	CebpZ_a	CebpZ	Widom_601	174	78
CebpZ_a-143	CebpZ_a	CebpZ	Widom_601	175	79
CebpZ_a-144	CebpZ_a	CebpZ	Widom_601	176	80
CebpZ_a-145	CebpZ_a	CebpZ	Widom_601	177	81
CebpZ_a-146	CebpZ_a	CebpZ	Widom_601	178	82
CebpZ_a-147	CebpZ_a	CebpZ	Widom_601	179	83
CebpZ_a-148	CebpZ_a	CebpZ	Widom_601	180	84
CebpZ_a-153	CebpZ_a	CebpZ	Widom_601	185	89
CebpZ_b-1	CebpZ_b	CebpZ	Widom_601	28	-68
CebpZ_b-2	CebpZ_b	CebpZ	Widom_601	29	-67
CebpZ_b-3	CebpZ_b	CebpZ	Widom_601	30	-66
CebpZ_b-4	CebpZ_b	CebpZ	Widom_601	31	-65
CebpZ_b-5	CebpZ_b	CebpZ	Widom_601	32	-64
CebpZ_b-6	CebpZ_b	CebpZ	Widom_601	33	-63
CebpZ_b-7	CebpZ_b	CebpZ	Widom_601	34	-62
CebpZ_b-8	CebpZ_b	CebpZ	Widom_601	35	-61
CebpZ_b-9	CebpZ_b	CebpZ	Widom_601	36	-60
CebpZ_b-10	CebpZ_b	CebpZ	Widom_601	37	-59
CebpZ_b-11	CebpZ_b	CebpZ	Widom_601	38	-58
CebpZ_b-12	CebpZ_b	CebpZ	Widom_601	39	-57
CebpZ_b-13	CebpZ_b	CebpZ	Widom_601	40	-56
CebpZ_b-14	CebpZ_b	CebpZ	Widom_601	41	-55
CebpZ_b-15	CebpZ_b	CebpZ	Widom_601	42	-54
CebpZ_b-16	CebpZ_b	CebpZ	Widom_601	43	-53
CebpZ_b-17	CebpZ_b	CebpZ	Widom_601	44	-52
CebpZ_b-18	CebpZ_b	CebpZ	Widom_601	45	-51
CebpZ_b-19	CebpZ_b	CebpZ	Widom_601	46	-50
CebpZ_b-20	CebpZ_b	CebpZ	Widom_601	47	-49
CebpZ_b-21	CebpZ_b	CebpZ	Widom_601	48	-48
CebpZ_b-22	CebpZ_b	CebpZ	Widom_601	49	-47
CebpZ_b-23	CebpZ_b	CebpZ	Widom_601	50	-46
CebpZ_b-24	CebpZ_b	CebpZ	Widom_601	51	-45
CebpZ_b-25	CebpZ_b	CebpZ	Widom_601	52	-44
CebpZ_b-26	CebpZ_b	CebpZ	Widom_601	53	-43
CebpZ_b-27	CebpZ_b	CebpZ	Widom_601	54	-42
CebpZ_b-28	CebpZ_b	CebpZ	Widom_601	55	-41
CebpZ_b-29	CebpZ_b	CebpZ	Widom_601	56	-40
CebpZ_b-30	CebpZ_b	CebpZ	Widom_601	57	-39
CebpZ_b-31	CebpZ_b	CebpZ	Widom_601	58	-38
CebpZ_b-32	CebpZ_b	CebpZ	Widom_601	59	-37
CebpZ_b-33	CebpZ_b	CebpZ	Widom_601	60	-36
CebpZ_b-34	CebpZ_b	CebpZ	Widom_601	61	-35
CebpZ_b-35	CebpZ_b	CebpZ	Widom_601	62	-34
CebpZ_b-36	CebpZ_b	CebpZ	Widom_601	63	-33
CebpZ_b-37	CebpZ_b	CebpZ	Widom_601	64	-32
CebpZ_b-38	CebpZ_b	CebpZ	Widom_601	65	-31
CebpZ_b-39	CebpZ_b	CebpZ	Widom_601	66	-30
CebpZ_b-40	CebpZ_b	CebpZ	Widom_601	67	-29
CebpZ_b-41	CebpZ_b	CebpZ	Widom_601	68	-28
CebpZ_b-42	CebpZ_b	CebpZ	Widom_601	69	-27
CebpZ_b-43	CebpZ_b	CebpZ	Widom_601	70	-26
CebpZ_b-44	CebpZ_b	CebpZ	Widom_601	71	-25
CebpZ_b-45	CebpZ_b	CebpZ	Widom_601	72	-24
CebpZ_b-46	CebpZ_b	CebpZ	Widom_601	73	-23
CebpZ_b-47	CebpZ_b	CebpZ	Widom_601	74	-22
CebpZ_b-48	CebpZ_b	CebpZ	Widom_601	75	-21
CebpZ_b-49	CebpZ_b	CebpZ	Widom_601	76	-20
CebpZ_b-50	CebpZ_b	CebpZ	Widom_601	77	-19
CebpZ_b-51	CebpZ_b	CebpZ	Widom_601	78	-18
CebpZ_b-52	CebpZ_b	CebpZ	Widom_601	79	-17
CebpZ_b-53	CebpZ_b	CebpZ	Widom_601	80	-16
CebpZ_b-54	CebpZ_b	CebpZ	Widom_601	81	-15
CebpZ_b-55	CebpZ_b	CebpZ	Widom_601	82	-14
CebpZ_b-56	CebpZ_b	CebpZ	Widom_601	83	-13
CebpZ_b-57	CebpZ_b	CebpZ	Widom_601	84	-12
CebpZ_b-58	CebpZ_b	CebpZ	Widom_601	85	-11
CebpZ_b-59	CebpZ_b	CebpZ	Widom_601	86	-10
CebpZ_b-60	CebpZ_b	CebpZ	Widom_601	87	-9
CebpZ_b-61	CebpZ_b	CebpZ	Widom_601	88	-8
CebpZ_b-62	CebpZ_b	CebpZ	Widom_601	89	-7
CebpZ_b-63	CebpZ_b	CebpZ	Widom_601	90	-6
CebpZ_b-64	CebpZ_b	CebpZ	Widom_601	91	-5
CebpZ_b-65	CebpZ_b	CebpZ	Widom_601	92	-4
CebpZ_b-66	CebpZ_b	CebpZ	Widom_601	93	-3
CebpZ_b-67	CebpZ_b	CebpZ	Widom_601	94	-2
CebpZ_b-68	CebpZ_b	CebpZ	Widom_601	95	-1
CebpZ_b-69	CebpZ_b	CebpZ	Widom_601	96	0
CebpZ_b-70	CebpZ_b	CebpZ	Widom_601	97	1
CebpZ_b-71	CebpZ_b	CebpZ	Widom_601	98	2
CebpZ_b-72	CebpZ_b	CebpZ	Widom_601	99	3
CebpZ_b-73	CebpZ_b	CebpZ	Widom_601	100	4
CebpZ_b-74	CebpZ_b	CebpZ	Widom_601	101	5
CebpZ_b-75	CebpZ_b	CebpZ	Widom_601	102	6
CebpZ_b-76	CebpZ_b	CebpZ	Widom_601	103	7
CebpZ_b-77	CebpZ_b	CebpZ	Widom_601	104	8
CebpZ_b-78	CebpZ_b	CebpZ	Widom_601	105	9
CebpZ_b-79	CebpZ_b	CebpZ	Widom_601	106	10
CebpZ_b-80	CebpZ_b	CebpZ	Widom_601	107	11
CebpZ_b-81	CebpZ_b	CebpZ	Widom_601	108	12
CebpZ_b-82	CebpZ_b	CebpZ	Widom_601	109	13
CebpZ_b-83	CebpZ_b	CebpZ	Widom_601	110	14
CebpZ_b-84	CebpZ_b	CebpZ	Widom_601	111	15
CebpZ_b-85	CebpZ_b	CebpZ	Widom_601	112	16
CebpZ_b-86	CebpZ_b	CebpZ	Widom_601	113	17
CebpZ_b-87	CebpZ_b	CebpZ	Widom_601	114	18
CebpZ_b-88	CebpZ_b	CebpZ	Widom_601	115	19
CebpZ_b-89	CebpZ_b	CebpZ	Widom_601	116	20
CebpZ_b-90	CebpZ_b	CebpZ	Widom_601	117	21
CebpZ_b-91	CebpZ_b	CebpZ	Widom_601	118	22
CebpZ_b-92	CebpZ_b	CebpZ	Widom_601	119	23
CebpZ_b-93	CebpZ_b	CebpZ	Widom_601	120	24
CebpZ_b-94	CebpZ_b	CebpZ	Widom_601	121	25
CebpZ_b-95	CebpZ_b	CebpZ	Widom_601	122	26
CebpZ_b-96	CebpZ_b	CebpZ	Widom_601	123	27
CebpZ_b-97	CebpZ_b	CebpZ	Widom_601	124	28
CebpZ_b-98	CebpZ_b	CebpZ	Widom_601	125	29
CebpZ_b-99	CebpZ_b	CebpZ	Widom_601	126	30
CebpZ_b-100	CebpZ_b	CebpZ	Widom_601	127	31
CebpZ_b-101	CebpZ_b	CebpZ	Widom_601	128	32
CebpZ_b-102	CebpZ_b	CebpZ	Widom_601	129	33
CebpZ_b-103	CebpZ_b	CebpZ	Widom_601	130	34
CebpZ_b-104	CebpZ_b	CebpZ	Widom_601	131	35
CebpZ_b-105	CebpZ_b	CebpZ	Widom_601	132	36
CebpZ_b-106	CebpZ_b	CebpZ	Widom_601	133	37
CebpZ_b-107	CebpZ_b	CebpZ	Widom_601	134	38
CebpZ_b-108	CebpZ_b	CebpZ	Widom_601	135	39
CebpZ_b-109	CebpZ_b	CebpZ	Widom_601	136	40
CebpZ_b-110	CebpZ_b	CebpZ	Widom_601	137	41
CebpZ_b-111	CebpZ_b	CebpZ	Widom_601	138	42
CebpZ_b-112	CebpZ_b	CebpZ	Widom_601	139	43
CebpZ_b-113	CebpZ_b	CebpZ	Widom_601	140	44
CebpZ_b-114	CebpZ_b	CebpZ	Widom_601	141	45
CebpZ_b-115	CebpZ_b	CebpZ	Widom_601	142	46
CebpZ_b-116	CebpZ_b	CebpZ	Widom_601	143	47
CebpZ_b-117	CebpZ_b	CebpZ	Widom_601	144	48
CebpZ_b-118	CebpZ_b	CebpZ	Widom_601	145	49
CebpZ_b-119	CebpZ_b	CebpZ	Widom_601	146	50
CebpZ_b-120	CebpZ_b	CebpZ	Widom_601	147	51
CebpZ_b-121	CebpZ_b	CebpZ	Widom_601	148	52
CebpZ_b-122	CebpZ_b	CebpZ	Widom_601	149	53
CebpZ_b-123	CebpZ_b	CebpZ	Widom_601	150	54
CebpZ_b-124	CebpZ_b	CebpZ	Widom_601	151	55
CebpZ_b-125	CebpZ_b	CebpZ	Widom_601	152	56
CebpZ_b-126	CebpZ_b	CebpZ	Widom_601	153	57
CebpZ_b-127	CebpZ_b	CebpZ	Widom_601	154	58
CebpZ_b-128	CebpZ_b	CebpZ	Widom_601	155	59
CebpZ_b-129	CebpZ_b	CebpZ	Widom_601	156	60
CebpZ_b-130	CebpZ_b	CebpZ	Widom_601	157	61
CebpZ_b-131	CebpZ_b	CebpZ	Widom_601	158	62
CebpZ_b-132	CebpZ_b	CebpZ	Widom_601	159	63
CebpZ_b-133	CebpZ_b	CebpZ	Widom_601	160	64
CebpZ_b-134	CebpZ_b	CebpZ	Widom_601	161	65
CebpZ_b-135	CebpZ_b	CebpZ	Widom_601	162	66
CebpZ_b-136	CebpZ_b	CebpZ	Widom_601	163	67
CebpZ_b-137	CebpZ_b	CebpZ	Widom_601	164	68
CebpZ_b-138	CebpZ_b	CebpZ	Widom_601	165	69
CebpZ_b-139	CebpZ_b	CebpZ	Widom_601	166	70
CebpZ_b-140	CebpZ_b	CebpZ	Widom_601	167	71
CebpZ_b-141	CebpZ_b	CebpZ	Widom_601	168	72
CebpZ_b-142	CebpZ_b	CebpZ	Widom_601	169	73
CebpZ_b-143	CebpZ_b	CebpZ	Widom_601	170	74
CebpZ_b-144	CebpZ_b	CebpZ	Widom_601	171	75
CebpZ_b-145	CebpZ_b	CebpZ	Widom_601	172	76
CebpZ_b-146	CebpZ_b	CebpZ	Widom_601	173	77
CebpZ_b-147	CebpZ_b	CebpZ	Widom_601	174	78
CebpZ_b-148	CebpZ_b	CebpZ	Widom_601	175	79
CebpZ_b-153	CebpZ_b	CebpZ	Widom_601	180	84
CebpZ_b-158	CebpZ_b	CebpZ	Widom_601	185	89
Fosl2_a-1	Fosl2_a	Fosl2	Widom_601	26	-70
Fosl2_a-2	Fosl2_a	Fosl2	Widom_601	27	-69
Fosl2_a-3	Fosl2_a	Fosl2	Widom_601	28	-68
Fosl2_a-4	Fosl2_a	Fosl2	Widom_601	29	-67
Fosl2_a-5	Fosl2_a	Fosl2	Widom_601	30	-66
Fosl2_a-6	Fosl2_a	Fosl2	Widom_601	31	-65
Fosl2_a-7	Fosl2_a	Fosl2	Widom_601	32	-64
Fosl2_a-8	Fosl2_a	Fosl2	Widom_601	33	-63
Fosl2_a-9	Fosl2_a	Fosl2	Widom_601	34	-62
Fosl2_a-10	Fosl2_a	Fosl2	Widom_601	35	-61
Fosl2_a-11	Fosl2_a	Fosl2	Widom_601	36	-60
Fosl2_a-12	Fosl2_a	Fosl2	Widom_601	37	-59
Fosl2_a-13	Fosl2_a	Fosl2	Widom_601	38	-58
Fosl2_a-14	Fosl2_a	Fosl2	Widom_601	39	-57
Fosl2_a-15	Fosl2_a	Fosl2	Widom_601	40	-56
Fosl2_a-16	Fosl2_a	Fosl2	Widom_601	41	-55
Fosl2_a-17	Fosl2_a	Fosl2	Widom_601	42	-54
Fosl2_a-18	Fosl2_a	Fosl2	Widom_601	43	-53
Fosl2_a-19	Fosl2_a	Fosl2	Widom_601	44	-52
Fosl2_a-20	Fosl2_a	Fosl2	Widom_601	45	-51
Fosl2_a-21	Fosl2_a	Fosl2	Widom_601	46	-50
Fosl2_a-22	Fosl2_a	Fosl2	Widom_601	47	-49
Fosl2_a-23	Fosl2_a	Fosl2	Widom_601	48	-48
Fosl2_a-24	Fosl2_a	Fosl2	Widom_601	49	-47
Fosl2_a-25	Fosl2_a	Fosl2	Widom_601	50	-46
Fosl2_a-26	Fosl2_a	Fosl2	Widom_601	51	-45
Fosl2_a-27	Fosl2_a	Fosl2	Widom_601	52	-44
Fosl2_a-28	Fosl2_a	Fosl2	Widom_601	53	-43
Fosl2_a-29	Fosl2_a	Fosl2	Widom_601	54	-42
Fosl2_a-30	Fosl2_a	Fosl2	Widom_601	55	-41
Fosl2_a-31	Fosl2_a	Fosl2	Widom_601	56	-40
Fosl2_a-32	Fosl2_a	Fosl2	Widom_601	57	-39
Fosl2_a-33	Fosl2_a	Fosl2	Widom_601	58	-38
Fosl2_a-34	Fosl2_a	Fosl2	Widom_601	59	-37
Fosl2_a-35	Fosl2_a	Fosl2	Widom_601	60	-36
Fosl2_a-36	Fosl2_a	Fosl2	Widom_601	61	-35
Fosl2_a-37	Fosl2_a	Fosl2	Widom_601	62	-34
Fosl2_a-38	Fosl2_a	Fosl2	Widom_601	63	-33
Fosl2_a-39	Fosl2_a	Fosl2	Widom_601	64	-32
Fosl2_a-40	Fosl2_a	Fosl2	Widom_601	65	-31
Fosl2_a-41	Fosl2_a	Fosl2	Widom_601	66	-30
Fosl2_a-42	Fosl2_a	Fosl2	Widom_601	67	-29
Fosl2_a-43	Fosl2_a	Fosl2	Widom_601	68	-28
Fosl2_a-44	Fosl2_a	Fosl2	Widom_601	69	-27
Fosl2_a-45	Fosl2_a	Fosl2	Widom_601	70	-26
Fosl2_a-46	Fosl2_a	Fosl2	Widom_601	71	-25
Fosl2_a-47	Fosl2_a	Fosl2	Widom_601	72	-24
Fosl2_a-48	Fosl2_a	Fosl2	Widom_601	73	-23
Fosl2_a-49	Fosl2_a	Fosl2	Widom_601	74	-22
Fosl2_a-50	Fosl2_a	Fosl2	Widom_601	75	-21
Fosl2_a-51	Fosl2_a	Fosl2	Widom_601	76	-20
Fosl2_a-52	Fosl2_a	Fosl2	Widom_601	77	-19
Fosl2_a-53	Fosl2_a	Fosl2	Widom_601	78	-18
Fosl2_a-54	Fosl2_a	Fosl2	Widom_601	79	-17
Fosl2_a-55	Fosl2_a	Fosl2	Widom_601	80	-16
Fosl2_a-56	Fosl2_a	Fosl2	Widom_601	81	-15
Fosl2_a-57	Fosl2_a	Fosl2	Widom_601	82	-14
Fosl2_a-58	Fosl2_a	Fosl2	Widom_601	83	-13
Fosl2_a-59	Fosl2_a	Fosl2	Widom_601	84	-12
Fosl2_a-60	Fosl2_a	Fosl2	Widom_601	85	-11
Fosl2_a-61	Fosl2_a	Fosl2	Widom_601	86	-10
Fosl2_a-62	Fosl2_a	Fosl2	Widom_601	87	-9
Fosl2_a-63	Fosl2_a	Fosl2	Widom_601	88	-8
Fosl2_a-64	Fosl2_a	Fosl2	Widom_601	89	-7
Fosl2_a-65	Fosl2_a	Fosl2	Widom_601	90	-6
Fosl2_a-66	Fosl2_a	Fosl2	Widom_601	91	-5
Fosl2_a-67	Fosl2_a	Fosl2	Widom_601	92	-4
Fosl2_a-68	Fosl2_a	Fosl2	Widom_601	93	-3
Fosl2_a-69	Fosl2_a	Fosl2	Widom_601	94	-2
Fosl2_a-70	Fosl2_a	Fosl2	Widom_601	95	-1
Fosl2_a-71	Fosl2_a	Fosl2	Widom_601	96	0
Fosl2_a-72	Fosl2_a	Fosl2	Widom_601	97	1
Fosl2_a-73	Fosl2_a	Fosl2	Widom_601	98	2
Fosl2_a-74	Fosl2_a	Fosl2	Widom_601	99	3
Fosl2_a-75	Fosl2_a	Fosl2	Widom_601	100	4
Fosl2_a-76	Fosl2_a	Fosl2	Widom_601	101	5
Fosl2_a-77	Fosl2_a	Fosl2	Widom_601	102	6
Fosl2_a-78	Fosl2_a	Fosl2	Widom_601	103	7
Fosl2_a-79	Fosl2_a	Fosl2	Widom_601	104	8
Fosl2_a-80	Fosl2_a	Fosl2	Widom_601	105	9
Fosl2_a-81	Fosl2_a	Fosl2	Widom_601	106	10
Fosl2_a-82	Fosl2_a	Fosl2	Widom_601	107	11
Fosl2_a-83	Fosl2_a	Fosl2	Widom_601	108	12
Fosl2_a-84	Fosl2_a	Fosl2	Widom_601	109	13
Fosl2_a-85	Fosl2_a	Fosl2	Widom_601	110	14
Fosl2_a-86	Fosl2_a	Fosl2	Widom_601	111	15
Fosl2_a-87	Fosl2_a	Fosl2	Widom_601	112	16
Fosl2_a-88	Fosl2_a	Fosl2	Widom_601	113	17
Fosl2_a-89	Fosl2_a	Fosl2	Widom_601	114	18
Fosl2_a-90	Fosl2_a	Fosl2	Widom_601	115	19
Fosl2_a-91	Fosl2_a	Fosl2	Widom_601	116	20
Fosl2_a-92	Fosl2_a	Fosl2	Widom_601	117	21
Fosl2_a-93	Fosl2_a	Fosl2	Widom_601	118	22
Fosl2_a-94	Fosl2_a	Fosl2	Widom_601	119	23
Fosl2_a-95	Fosl2_a	Fosl2	Widom_601	120	24
Fosl2_a-96	Fosl2_a	Fosl2	Widom_601	121	25
Fosl2_a-97	Fosl2_a	Fosl2	Widom_601	122	26
Fosl2_a-98	Fosl2_a	Fosl2	Widom_601	123	27
Fosl2_a-99	Fosl2_a	Fosl2	Widom_601	124	28
Fosl2_a-100	Fosl2_a	Fosl2	Widom_601	125	29
Fosl2_a-101	Fosl2_a	Fosl2	Widom_601	126	30
Fosl2_a-102	Fosl2_a	Fosl2	Widom_601	127	31
Fosl2_a-103	Fosl2_a	Fosl2	Widom_601	128	32
Fosl2_a-104	Fosl2_a	Fosl2	Widom_601	129	33
Fosl2_a-105	Fosl2_a	Fosl2	Widom_601	130	34
